,link,name,수분,유분,보습,속건조,자극,진정,탄력,윤기,트러블,트러블개선,미백효과,피부톤개선,피부결개선,주름개선,모공관리,각질제거,흡수력,무게감,밀림,흘러내림,미끌거림,끈적임,향,양
0,https://www.coupang.com/vp/products/11745907?itemId=50484195&vendorItemId=75193989498,헤라 선메이트 레포츠 프로 워터프루프 선크림 SPF50+ PA++++,-3611.34,-1351.1,11242.6,-2863.0600000000004,-11773.22,1267.58,-7880.280000000001,767.8600000000001,-11320.2,-931.3400000000001,-8356.36,-7408.8,-7011.72,-8060.56,-8153.64,-8156.0,4200.860000000001,-11485.82,-9510.28,-8803.7,-8785.24,-12909.220000000001,2535.9,2612.18
1,https://www.coupang.com/vp/products/1262503426?itemId=21701608357&vendorItemId=88751140872,"더페이스샵 내추럴선 에코 파워 롱래스팅 선크림 SPF50+ PA+++, 50ml, 2개",-279.9,-1195.2800000000002,3823.7000000000003,-1189.6999999999998,-4560.6,289.68,-1552.6,294.78,-3231.14,-1135.5600000000002,-894.64,-262.52,-857.3199999999999,-1515.2799999999997,-1411.84,-1413.32,1127.4399999999998,-3469.3399999999997,-2581.12,-2307.7599999999998,-2583.2799999999997,-4288.599999999999,1156.32,160.54
2,https://www.coupang.com/vp/products/1473062788?itemId=2531956594&vendorItemId=81076188937,"닥터지 그린 마일드 업 선 플러스 SPF50+ PA++++, 35ml, 1개",-16881.62,-19712.34,26210.339999999997,-20084.94,-38806.74,15866.58,-29804.64,-11312.0,-34114.1,-3492.96,-29248.92,-25791.699999999997,-27280.519999999997,-29001.859999999997,-30018.3,-31512.78,2799.6800000000003,-37016.86,-28851.5,-32588.019999999997,-32487.119999999995,-37114.08,-13247.32,-11794.14
3,https://www.coupang.com/vp/products/1519009033?itemId=2606582458&vendorItemId=70597716608,"미샤 세이프 블록알엑스 커버 톤업 선크림 SPF50+ PA++++, 50ml, 1개",-1321.56,-729.16,1762.8400000000001,-1170.26,-3346.2999999999997,-490.21999999999997,-1951.06,-551.08,-2287.66,-696.8199999999999,-690.58,-358.74,-1095.72,-1426.1,-1846.3799999999999,-1979.2,-593.34,-3204.74,-2204.02,-2215.08,-2581.2400000000002,-3563.3799999999997,-1100.2,-784.92
4,https://www.coupang.com/vp/products/1601750342?itemId=2825937523&vendorItemId=3683860523,"어퓨 퓨어 블록 톤업 선베이스 이엑스 SPF50+ PA+++, 50ml, 1개",-901.38,-1397.3400000000001,1619.94,-1587.44,-3254.38,-732.26,-1842.1,-358.26,-2549.84,-1426.52,-1661.98,822.64,-783.96,-1770.66,-1703.68,-2128.7799999999997,-123.70000000000003,-2902.1400000000003,-2132.3199999999997,-2448.16,-2606.9,-3209.7,-240.34,-792.22
5,https://www.coupang.com/vp/products/1880781380?itemId=3196042564&vendorItemId=71183448404,"미샤 세이프 블록 RX 커버 톤업 선 쿠션 SPF50+ PA++++, 14g, 1개",-351.28,-1058.38,1564.82,-810.48,-2989.14,51.56,-2152.7200000000003,619.54,-2580.78,-733.4200000000001,-1601.2,-603.48,-759.4200000000001,-1825.72,-1702.94,-1822.3,335.41999999999996,-3174.88,-2578.58,-2537.32,-2811.14,-3374.3199999999997,-333.84000000000003,-432.38
6,https://www.coupang.com/vp/products/1930596358?itemId=3277367745&vendorItemId=86782290207,"록키스 베리 굿 선스틱 SPF50+ PA++++, 15g, 1개",-1155.6599999999999,-3912.6800000000003,10904.96,-2150.8599999999997,-14438.919999999998,2903.7000000000003,-10515.9,2789.72,-13071.98,1688.28,-10463.04,-8891.64,-7379.539999999999,-9160.4,-10504.2,-9863.18,2637.04,-14744.619999999999,-12602.84,-13190.559999999998,-12334.84,-8065.0199999999995,3031.54,-748.2199999999999
7,https://www.coupang.com/vp/products/2063413?itemId=19734420523&vendorItemId=5012122433,"멜라스톱 화이트닝 썬크림, 50ml, 2개",-348.5,-1232.1200000000001,1960.1,-1004.9200000000001,-3152.2,-137.9,-666.12,590.2199999999999,-1845.5800000000002,-103.39999999999999,808.76,284.7,-259.28,-666.22,-1055.8,-1217.3600000000001,488.34000000000003,-2296.38,-1810.8,-1563.58,-1810.7800000000002,-2504.44,20.32,589.9399999999999
8,https://www.coupang.com/vp/products/2063413?itemId=23599798349&vendorItemId=4461398489,"더마하우스 화이트닝 썬크림 50ml (미백 주름개선 자외선차단) SPF50+PA+++, 50ml, 5개",-239.64,-851.86,1695.6200000000001,-1075.0,-2997.08,-25.92,-826.8,207.42000000000002,-1992.62,-488.78,708.8,-63.78,-618.8,-419.74,-1024.44,-1316.02,531.0600000000001,-2369.6400000000003,-1858.12,-1921.58,-2114.88,-2652.84,-325.82,-207.7
9,https://www.coupang.com/vp/products/231383600?itemId=2567818439&vendorItemId=75874621576,"미프 UV쉴드 남자 선크림 SPF50+ PA++++, 50ml, 2개",96.18,-1827.8600000000001,2214.6400000000003,-760.3599999999999,-2388.48,571.88,-1586.98,70.92000000000002,-1949.0800000000002,-304.48,-1511.66,-1285.8400000000001,-1182.94,-1365.68,-1632.3000000000002,-1625.1800000000003,589.68,-2441.1400000000003,-1966.0800000000002,-1800.36,-1991.66,-2478.34,-79.88,333.76
