user_id,username,sex,age
0,디나7 ,Female,60
1,할말만해요 ,Male,20
2,박*수 ,Male,20
3,김*주 ,Female,60
4,이*엽 ,Female,20
5,김*기 ,Male,20
6,박*현 ,Male,30
7,inni ,Female,50
8,남*서 ,Male,40
9,킹콩언냐 ,Male,60
10,현*자 ,Female,50
11,백*현 ,Female,50
12,장*희 ,Female,20
13,이*경 ,Female,40
14,안*영 ,Male,40
15,장*관 ,Female,30
16,황*영 ,Female,20
17,하므다 ,Female,10
18,최*나 ,Female,20
19,배*민 ,Male,60
20,서* ,Male,60
21,최*근 ,Male,50
22,임*숙 ,Female,30
23,김*화 ,Female,50
24,로켓발사퓽 ,Female,10
25,마운틴741 ,Male,40
26,이*순 ,Female,20
27,JSJ1023 ,Female,40
28,라*옥 ,Male,10
29,맹*선 ,Male,30
30,엄*웅 ,Male,40
31,최*영 ,Male,20
32,김*민 ,Male,10
33,김*덕 ,Female,10
34,오*문 ,Female,40
35,조*호 ,Male,60
36,함*정 ,Male,60
37,김*영 ,Male,10
38,이*향 ,Male,40
39,김*아 ,Female,40
40,박*연 ,Male,40
41,강*원 ,Male,60
42,서뭉탁 ,Male,30
43,라단스 ,Male,50
44,김*진 ,Female,10
45,인*숙 ,Female,40
46,인쎌 ,Male,40
47,김*정 ,Female,10
48,차*란 ,Female,20
49,정*기 ,Female,40
50,바쿠아빠 ,Female,40
51,이*영 ,Female,40
52,조*자 ,Female,60
53,김*련 ,Male,20
54,이*정 ,Female,40
55,윤*환 ,Male,40
56,이*인 ,Female,10
57,신*수 ,Male,20
58,김*지 ,Male,40
59,김*경 ,Male,10
60,SUR******* *********** ,Female,10
61,김*숙 ,Female,30
62,박*주 ,Male,40
63,이*복 ,Male,50
64,LI ******* ,Male,40
65,홍*기 ,Female,30
66,백*영 ,Female,60
67,박*인 ,Male,50
68,류*희 ,Male,40
69,장*남 ,Male,30
70,우*정 ,Female,20
71,박*희 ,Female,30
72,김*은 ,Male,10
73,이*윤 ,Female,40
74,그판다 ,Male,10
75,쿠팡실구매자 ,Male,40
76,유*림 ,Male,30
77,박*은 ,Male,30
78,김*하 ,Male,30
79,조*옥 ,Male,60
80,오*숙 ,Male,20
81,아임해피 ,Male,60
82,이딜 ,Female,60
83,노*우 ,Male,30
84,박*지 ,Female,10
85,해외 ,Female,30
86,황*인 ,Male,60
87,이*무 ,Male,50
